Name: CCTV1, URL: http://58.221.214.82:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 605 ms, Speed: 0.15 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://112.46.85.60:8009/hls/501/index.m3u8$订阅源, Date: None, Delay: 248 ms, Speed: 0.29 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://115.48.61.46:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 192 ms, Speed: 0.50 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://222.134.245.16:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 777 ms, Speed: 1.58 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://221.199.193.191:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 194 ms, Speed: 3.08 M/s, Resolution: 720x576
Name: CCTV1, URL: http://222.217.230.253:8181/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 2.32 M/s, Resolution: 720x576
Name: CCTV1, URL: http://222.240.220.198:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 319 ms, Speed: 0.10 M/s, Resolution: None
Name: CCTV1, URL: http://123.129.70.178:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 210 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV1, URL: http://222.134.245.16:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 777 ms, Speed: 1.58 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://116.9.204.242:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 177 ms, Speed: 0.09 M/s, Resolution: 720x576
Name: CCTV1, URL: http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$订阅源, Date: None, Delay: -inf ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://110.80.17.38:9901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 353 ms, Speed: 0.08 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://1.198.10.32:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 0.47 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://39.134.136.161:6610/000000001000/9198071806334826260/index.m3u8?livemode=1&stbId=test&channel-id=hnbblive&Contentid=9198071806334826260$订阅源, Date: None, Delay: 202 ms, Speed: 1.15 M/s, Resolution: 720x576
Name: CCTV1, URL: http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9282&tk=e503191f8e20$订阅源, Date: None, Delay: 176 ms, Speed: 1.88 M/s, Resolution: 1280x720
Name: CCTV1, URL: http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5789&tk=97475bb89d45$订阅源, Date: None, Delay: 176 ms, Speed: 1.88 M/s, Resolution: 1280x720
Name: CCTV1, URL: http://120.238.94.10:9901/tsfile/live/1018_1.m3u8$订阅源, Date: None, Delay: 229 ms, Speed: 0.51 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9825&tk=7877e7cc41c7$订阅源, Date: None, Delay: 176 ms, Speed: 1.88 M/s, Resolution: 1280x720
Name: CCTV1, URL: http://123.52.111.131:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 162 ms, Speed: 0.70 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://121.19.134.222:808/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 169 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV1, URL: http://124.228.161.8:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 345 ms, Speed: 0.02 M/s, Resolution: 720x576
Name: CCTV1, URL: http://111.160.17.2:59901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 359 ms, Speed: 0.08 M/s, Resolution: None
Name: CCTV1, URL: http://202.100.46.58:9901/tsfile/live/1000_1.m3u8$订阅源, Date: None, Delay: 184 ms, Speed: 0.06 M/s, Resolution: None
Name: CCTV1, URL: http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000131/index.m3u8?IAS$订阅源, Date: None, Delay: -inf ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://209.141.58.162:4994/proxy?url=http%3A//209.141.58.162%3A62315/ysptp/cctv1.m3u8$订阅源, Date: None, Delay: 45 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://39.134.136.161:6610/000000001000/5068253659616166748/index.m3u8?livemode=1&stbId=10&channel-id=wasusyt&Contentid=5068253659616166748$订阅源, Date: None, Delay: 202 ms, Speed: 1.15 M/s, Resolution: 720x576
Name: CCTV1, URL: http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000021973/1.m3u8$订阅源, Date: None, Delay: -inf ms, Speed: inf M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://[2409:8087:74f0:22::4]:6410/270000001128/9900000501/index.m3u8?$订阅源, Date: None, Delay: -inf ms, Speed: inf M/s, Resolution: 1920x1080
